"date","trades_closed","net_pl_sar","purified_sar","balance_sar","open_position","total_realized_pl_sar","total_purified_sar"
"2026-08-09","2","-0.2251","0","99.7749","none","-0.2251","0"
"2026-08-10","1","-0.4389","0","99.336","none","-0.664","0"
"2026-08-12","4","-0.5411","0","98.2764","none","-1.7236","0"
"2026-08-13","3","0.3911","0.0635","98.604","none","-1.3325","0.0635"
"2026-08-16","1","0.1483","0.0148","98.7375","2222.SR @ SAR 26.66","-1.1842","0.0783"
"2026-08-17","6","-0.3036","0.0152","98.4187","none","-1.4878","0.0935"
"2026-08-18","7","-0.5219","0.004","97.8928","7010.SR @ SAR 43.64","-2.0097","0.0975"
"2026-08-19","2","-0.0536","0.0081","97.8311","2222.SR @ SAR 26.66","-2.0633","0.1056"
"2026-08-20","4","-1.8591","0","95.972","1120.SR @ SAR 64.55","-3.9224","0.1056"
"2026-08-23","0","0","0","95.972","1120.SR @ SAR 64.55","-3.9224","0.1056"
"2026-08-24","1","4.0887","0.4089","99.6518","1010.SR @ SAR 20.8","0.1663","0.5145"
"2026-08-25","0","0","0","99.6518","1010.SR @ SAR 20.8","0.1663","0.5145"
"2026-08-26","1","0.9103","0.091","100.4711","1010.SR @ SAR 21","1.0766","0.6055"
"2026-08-28","0","0","0","99.5274","7010.SR @ SAR 44.62","0.1329","0.6055"
"2026-08-30","7","-0.7247","0","98.8027","2010.SR @ SAR 50.25","-0.5918","0.6055"
"2026-08-31","8","-0.6339","0","98.1688","none","-1.2257","0.6055"
"2026-09-01","6","-1.7711","0","96.3977","2222.SR @ SAR 26.08","-2.9968","0.6055"
"2026-09-02","2","-0.1067","0.0074","96.2836","none","-3.1035","0.6129"
"2026-09-03","3","-0.002","0.0364","96.2452","1010.SR @ SAR 20.7","-3.1055","0.6493"
