"timestamp_utc","event","pl_sar","purification_sar","balance_sar"
"2026-08-09T10:06:47","CLOSE 2222.SR","-0.1501","0","99.8499"
"2026-08-09T14:05:25","CLOSE 2222.SR","-0.075","0","99.7749"
"2026-08-10T14:40:12","CLOSE 1010.SR","-0.4389","0","99.336"
"2026-08-11T12:01:51","CLOSE 2222.SR","-0.5185","0","98.8175"
"2026-08-12T08:50:15","CLOSE 2280.SR","-0.2072","0","98.6103"
"2026-08-12T09:15:20","CLOSE 1180.SR","-0.0964","0","98.5139"
"2026-08-12T10:55:12","CLOSE 7010.SR","-0.0904","0","98.4235"
"2026-08-12T12:30:27","CLOSE 1010.SR","-0.1471","0","98.2764"
"2026-08-13T11:25:15","CLOSE 1010.SR","0.6347","0.0635","98.8476"
"2026-08-13T11:40:20","CLOSE 2222.SR","0","0","98.8476"
"2026-08-13T12:25:14","CLOSE 1010.SR","-0.2436","0","98.604"
"2026-08-16T10:30:26","CLOSE 2222.SR","0.1483","0.0148","98.7375"
"2026-08-17T07:25:17","CLOSE 2222.SR","-0.0741","0","98.6634"
"2026-08-17T09:25:17","CLOSE 1211.SR","0.1519","0.0152","98.8001"
"2026-08-17T11:05:13","CLOSE 2222.SR","-0.1485","0","98.6516"
"2026-08-17T11:50:20","CLOSE 2222.SR","-0.0742","0","98.5774"
"2026-08-17T12:00:31","CLOSE 2010.SR","0","0","98.5774"
"2026-08-17T12:25:15","CLOSE 2010.SR","-0.1587","0","98.4187"
"2026-08-18T08:20:20","CLOSE 2010.SR","0.0396","0.004","98.4543"
"2026-08-18T08:50:20","CLOSE 1120.SR","-0.1519","0","98.3024"
"2026-08-18T09:50:21","CLOSE 2280.SR","-0.2441","0","98.0583"
"2026-08-18T09:55:14","CLOSE 2222.SR","0","0","98.0583"
"2026-08-18T10:10:19","CLOSE 1120.SR","-0.0757","0","97.9826"
"2026-08-18T10:35:15","CLOSE 7010.SR","-0.0449","0","97.9377"
"2026-08-18T10:45:21","CLOSE 7010.SR","-0.0449","0","97.8928"
