"date","trades_closed","net_pl_usd","purified_usd","balance_usd","balance_sar","open_position","total_realized_pl_usd","total_purified_usd"
"2026-08-04","0","0","0","26.6667","100","none","0","0"
"2026-08-05","1","-0.0043","0","26.6624","99.98","AAPL @ $308.96","-0.0043","0"
"2026-08-07","0","0","0","26.6624","99.98","AAPL @ $308.96","-0.0043","0"
"2026-08-07","1","0.3184","0.0318","26.949","101.06","AAPL @ $312.5799","0.3141","0.0318"
"2026-08-10","1","-0.563","0","26.386","98.95","AAPL @ $307.4","-0.2489","0.0318"
"2026-08-11","3","-0.3468","0","26.0392","97.65","none","-0.5957","0.0318"
"2026-08-12","1","-0.055","0","25.9842","97.44","TSLA @ $327.3","-0.6507","0.0318"
"2026-08-13","0","0","0","25.9842","97.44","TSLA @ $327.3","-0.6507","0.0318"
"2026-08-14","2","1.085","0.1107","26.9585","101.09","AAPL @ $305.93","0.4343","0.1425"
"2026-08-17","2","-0.1649","0","26.7936","100.48","AAPL @ $304.31","0.2694","0.1425"
"2026-08-18","3","0.427","0.0512","27.1694","101.89","GOOGL @ $343.72","0.6964","0.1937"
"2026-08-19","6","-0.4819","0.0081","26.6794","100.05","MSFT @ $481.63","0.2145","0.2018"
"2026-08-20","0","0","0","26.6794","100.05","MSFT @ $481.63","0.2145","0.2018"
"2026-08-21","0","0","0","26.6794","100.05","MSFT @ $481.63","0.2145","0.2018"
